Hemisphere;Latitude;Longitude;Species;Order;Mean;SD;CV (%);Reference
North Atlantic;61°28'N;21°20'E;Fucus vesiculosus;Fucales;6.01;1.25;20.75;Koivikko et al. 2008
South IP;22°20'S;166°49'E;Sargassum aquifolium;Fucales;0.16;0.01;3.85;Le Lann et al. 2012
South IP;22°20'S;166°49'E;Sargassum aquifolium;Fucales;0.16;0.01;6.1;Le Lann et al. 2012
South IP;22°20'S;166°49'E;Turbinaria conoides;Fucales;1.59;0.17;10.95;Le Lann et al. 2012
South IP;21°59'S;166°42'E;Turbinaria conoides;Fucales;0.95;0.05;4.93;Le Lann et al. 2012
South IP;21°59'S;166°42'E;Turbinaria ornata;Fucales;0.84;0.04;4.3;Le Lann et al. 2012
South IP;18°4'S;179°20'E;Sargassum polycystum;Fucales;0.59;0.11;19.35;Le Lann et al. 2012
South IP;16°35'S;179°11'E;Sargassum polycystum;Fucales;0.09;0;3.33;Le Lann et al. 2012
South IP;16°35'S;179°11'E;Sargassum polycystum;Fucales;0.74;0.21;28.4;Le Lann et al. 2012
South IP;16°35'S;179°11'E;Turbinaria ornata;Fucales;0.95;0.07;7.65;Le Lann et al. 2012
South IP;9°9'S;161°15'E;Sargassum aquifolium;Fucales;0.21;0.01;4.88;Le Lann et al. 2012
South IP;8°59'S;160°10'E;Sargassum aquifolium;Fucales;0.71;0.07;10.45;Le Lann et al. 2012
South IP;9°9'S;161°15'E;Sargassum cristaefolium;Fucales;0.08;0.02;21.25;Le Lann et al. 2012
South IP;8°59'S;160°10'E;Turbinaria conoides;Fucales;0.87;0.2;23.58;Le Lann et al. 2012
South IP;9°9'S;161°15'E;Turbinaria decurrens;Fucales;1.03;0.07;7.21;Le Lann et al. 2012
South IP;9°9'S;161°15'E;Turbinaria ornata;Fucales;0.26;0.01;3.44;Le Lann et al. 2012
South IP;8°24'S;160°48'E;Sargassum aquifolium;Fucales;0.09;0.01;11.11;Le Lann et al. 2012
South IP;8°24'S;160°48'E;Turbinaria conoides;Fucales;1.64;0.09;5.55;Le Lann et al. 2012
South IP;8°24'S;160°48'E;Turbinaria decurrens;Fucales;0.48;0.04;7.44;Le Lann et al. 2012
South IP;31°25'S;71°35'W;Durvillaea antarctica(male);Fucales;0.67;0.13;18.69;Lizée-Prynne et al.  2016
South IP;32°05'S;71°31'W;Durvillaea antarctica (female);Fucales;0.94;0.36;38.21;Lizée-Prynne et al. 2016
South IP;32°05'S;71°31'W;Durvillaea antarctica (male);Fucales;1.03;0.42;40.83;Lizée-Prynne et al. 2016
South IP;32°05'S;71°31'W;Durvillaea antarctica (vegetative);Fucales;0.8;0.23;29;Lizée-Prynne et al. 2016
South IP;31°25'S;71°35'W;Durvillaea antarctica (female);Fucales;0.91;0.41;45.3;Lizée-Prynne et al. 2016
South IP;31°25'S;71°35'W;Durvillaea antarctica (vegetative);Fucales;0.55;0.2;36.56;Lizée-Prynne et al. 2016
North Atlantic;38°12'N;13°17'E;Cystoseira amentacea (autumn);Fucales;0.37;0.05;13.51;Mannino et al. 2015
North Atlantic;38°12'N;13°17'E;Cystoseira amentacea (spring);Fucales;0.76;0.14;18.42;Mannino et al. 2015
North Atlantic;38°12'N;13°17'E;Cystoseira amentacea (summer);Fucales;0.48;0.01;2.08;Mannino et al. 2015
North Atlantic;38°12'N;13°17'E;Cystoseira amentacea (winter);Fucales;0.8;0.07;8.75;Mannino et al. 2015
South IP;33°30'S;71°38'W;Lessonia nigrescens intertidal adults;Laminariales;0.09;n.g.;n.c.;Martínez 1996
South IP;33°30'S;71°38'W;Lessonia nigrescens subtidal adults;Laminariales;0.45;n.g.;n.c.;Martínez 1996
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum;Fucales;4;n.g.;n.c.;Pavia & Toth 2000
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 1 1992);Fucales;11.55;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 1 1993);Fucales;8.22;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 2 1992);Fucales;8.67;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 2 1993);Fucales;6.78;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 3 1992);Fucales;7.56;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum (site 3 1993);Fucales;6.67;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 1 1992);Fucales;6.22;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 1 1993);Fucales;7.33;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 2 1992);Fucales;7.78;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 2 1993);Fucales;8.22;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 3 1992);Fucales;7.11;n.g.;n.c.;Pavia et al. 1999
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum (site 3 1993);Fucales;8.22;n.g.;n.c.;Pavia et al. 1999
North Atlantic;54°05'N;4°37'W;Ascophyllum nodosum;Fucales;6.46;n.g.;n.c.;Pavia et al. 2003
North Atlantic;58°54'N;11°07'E;Ascophyllum nodosum;Fucales;5.81;n.g.;n.c.;Pavia et al. 2003
North Atlantic;61°N;5°E;Ascophyllum nodosum;Fucales;0.8;n.g.;n.c.;Pedersen 1984
North Atlantic;61°N;5°E;Fucus vesiculosus;Fucales;4.8;n.g.;n.c.;Pedersen 1984
South Atlantic;22°44'S;42°57'W;Sargassum furcatum;Fucales;0.5;n.g.;n.c.;Pereira & Yoneshigue-Valentin 1999
South Atlantic;22°56'S;43°52'W;Sargassum vulgare (axis);Fucales;3.61;0.08;2.22;Plouguerné et al 2012
South Atlantic;22°56'S;43°52'W;Sargassum vulgare (leaflets);Fucales;2.59;0.12;4.63;Plouguerné et al 2012
South Atlantic;22°56'S;43°52'W;Sargassum vulgare (pneumatocystis);Fucales;1.9;0.06;3.16;Plouguerné et al 2012
South Atlantic;22°56'S;43°52'W;Sargassum vulgare (receptacles);Fucales;3.32;0.14;4.22;Plouguerné et al 2012
North Atlantic;47°43'N;3°30'W;Sargassum muticum;Fucales;1.11;0.11;9.91;Plouguerné et al. 2006
North Atlantic;48°21'N;4°33'W;Sargassum muticum;Fucales;1.39;0.1;7.19;Plouguerné et al. 2006
North Atlantic;48°40'N;3°55'W;Sargassum muticum;Fucales;1.85;0.09;4.86;Plouguerné et al. 2006
South Atlantic;27°25'S;48°28’ W;Padina gymnospora;Dictyotales;0.58;0.3;51.8;Present study
South Atlantic;27°25'S;48°28’ W;Sargassum stenophyllum;Fucales;0.45;0.19;42;Present study
South Atlantic;22°44'S;41°57’ W;Canistrocarpus cervicornis;Dictyotales;0.18;0;n.c.;Present study
South Atlantic;22°44'S;41°57’ W;Colpomenia sinuosa;Ectocarpales;0.25;0.02;n.c.;Present study
South Atlantic;22°44'S;41°57’ W;Dictyota mertensii;Dictyotales;0.18;0.03;15.4;Present study
South Atlantic;22°44'S;41°57’ W;Padina gymnospora;Dictyotales;0.22;0.1;n.c.;Present study
South Atlantic;22°44'S;41°57’ W;Sargassum vulgare;Fucales;1.1;0.34;30.9;Present study
South Atlantic;22°44'S;41°57’ W;Stypopodium zonale;Dictyotales;1.72;0.49;28.3;Present study
South Atlantic;20°38'S;40°28’ W;Dictyopteris delicatula;Dictyotales;0.12;0.02;n.c.;Present study
South Atlantic;20°38'S;40°28’ W;Dictyota mertensii;Dictyotales;0.1;0.01;n.c.;Present study
South Atlantic;20°38'S;40°28’ W;Padina gymnospora;Dictyotales;0.87;0.02;n.c.;Present study
South Atlantic;20°38'S;40°28’ W;Sargassum ramifolium;Fucales;0.16;0.06;36.5;Present study
South Atlantic;20°38'S;40°28’ W;Spatoglossum schroederi;Dictyotales;4.3;0.77;18.1;Present study
South Atlantic;16°24'S;39°02’ W;Colpomenia sinuosa;Ectocarpales;0.07;0.01;+;Present study
South Atlantic;16°24'S;39°02’ W;Dictyopteris delicatula;Dictyotales;0.13;0.01;+;Present study
South Atlantic;16°24'S;39°02’ W;Dictyopteris polipodioides;Dictyotales;0.22;0.01;+;Present study
South Atlantic;16°24'S;39°02’ W;Dictyota ciliolata;Dictyotales;0.15;0.02;13.9;Present study
South Atlantic;16°24'S;39°02’ W;Dictyota crispata;Dictyotales;0.14;0.04;25.7;Present study
South Atlantic;16°24'S;39°02’ W;Dictyota dichotoma;Dictyotales;0.11;0.01;+;Present study
