"model","delta","df","weights","AIC"
"Temp",0,2,"0.894",1357.09473117319
"Temp + Ocean",4.79706721617868,5,"0.081",1361.89179838936
"Null",7.80257798837647,1,"0.018",1364.89730916156
"Temp:ocean + Temp + Ocean",10.3840290549178,8,"0.005",1367.4787602281
"Ocean",13.2557508912878,4,"0.001",1370.35048206447
